ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А24-5696/2017,0,0,0,1,1,1,0,1,18,275,1,0,0,1,0,1,0,0
А60-47776/2017,0,1,1,1,1,0,0,1,4,123,0,0,0,0,1,0,1,6408525.01
А75-17336/2017,1,1,0,0,0,0,0,1,8,52,0,1,0,0,0,1,0,100000.00
А25-811/2017,0,0,1,0,1,0,0,1,14,219,0,1,0,0,0,1,1,0
А71-14715/2017,0,0,0,1,1,0,0,0,17,302,1,0,0,1,0,1,0,100000.00
А60-46768/2017,0,0,1,1,1,1,0,1,13,416,2,1,0,0,0,1,1,0
А64-4040/2016,1,0,0,1,1,0,0,1,22,342,1,0,1,0,0,1,0,0
А32-48366/2017,0,1,0,0,0,0,0,0,8,130,1,0,0,0,1,0,0,100000.00
А40-143312/17,1,1,0,0,1,0,0,3,9,160,0,1,0,0,0,1,0,6816600.00
А82-18528/2017,0,0,1,1,1,0,0,1,7,349,2,0,1,0,0,1,1,0
А82-17815/2017,1,1,0,0,1,0,0,1,7,73,0,1,0,0,0,1,0,104039.90
А82-11315/2017,0,0,0,1,1,0,0,0,6,395,1,0,0,0,1,0,0,0
А82-14285/2017,0,0,0,1,1,0,0,0,8,133,0,0,0,1,0,1,0,0
А56-39173/2017,1,0,0,1,1,0,0,1,7,445,3,0,1,0,0,1,1,0
А52-3855/2017,1,0,1,1,1,0,0,2,20,377,2,0,1,0,0,1,0,0
А33-16076/2017,0,0,0,1,1,1,0,0,10,372,1,0,0,0,1,0,0,0
А65-20028/2017,1,0,1,1,1,0,0,1,19,585,3,0,1,0,0,1,0,0
А48-3762/2016,1,1,0,1,1,0,0,1,7,224,1,0,0,0,1,0,0,108895.00
А82-15922/2017,0,1,1,1,1,0,0,0,6,132,0,0,0,1,0,1,1,650000.00
А40-131577/17,1,1,1,1,1,0,0,3,4,182,0,0,0,1,0,1,1,24766560.00
А34-3107/2017,0,0,0,0,1,0,0,1,19,275,0,1,0,0,0,1,0,0
А40-122657/17,1,1,1,1,1,0,0,3,4,194,0,1,0,0,0,1,1,846480.00
А32-36046/2017,0,0,0,1,1,1,0,2,7,323,1,0,0,0,1,0,0,0
А65-8074/2017,0,1,1,0,1,0,0,0,4,295,0,1,0,0,0,1,1,650000.00
А45-11402/2017,0,1,0,1,1,0,0,0,16,308,1,0,0,0,1,0,0,1698126.00
А33-21521/2017,1,1,1,1,1,0,0,1,11,140,0,1,0,0,0,1,1,20000.00
А40-129269/17,1,1,1,1,1,0,0,3,3,189,0,0,1,0,0,1,1,0
А53-32786/2017,1,1,0,0,1,0,0,2,7,129,1,1,0,0,0,1,0,5028210.00
А40-209045/17,1,0,1,1,1,0,0,1,7,265,3,1,0,0,0,1,1,350280.00
А56-56409/2017,0,0,1,1,1,0,0,2,6,435,3,0,0,0,1,0,0,0
А32-52909/2017,0,1,0,1,1,0,0,0,9,109,1,0,0,0,1,0,0,100000.00
А32-46799/2017,0,0,0,1,1,0,1,2,8,183,1,0,0,0,1,0,0,0
А17-6056/2017,1,1,1,1,1,0,0,3,7,189,0,1,0,0,0,1,1,1538840.00
А17-6055/2017,1,1,1,1,1,0,0,3,7,189,0,0,1,0,0,1,1,1364080.00
А15-5731/2017,0,0,0,1,1,1,0,2,8,322,1,0,0,0,1,0,0,0
А40-190583/17,1,0,0,1,1,0,0,2,6,219,1,1,0,0,0,1,0,0
А34-9885/2017,0,0,0,1,1,1,0,1,11,250,1,1,0,0,0,1,0,0
А40-216826/17,0,1,0,1,1,0,0,2,7,131,1,0,0,0,1,0,0,562500.00
А69-1802/2017,0,0,0,1,1,0,0,2,14,315,1,0,0,1,0,1,0,0
А50-25636/17,1,0,0,1,1,0,0,2,13,259,1,1,0,0,0,1,0,0
А74-15796/2017,0,1,0,1,1,0,0,1,11,93,0,1,0,0,0,1,0,150000.00
А43-4738/2017,0,1,0,1,1,0,0,2,12,471,1,0,1,0,0,1,0,650000.00
А28-10990/2017,0,0,1,1,1,0,0,1,10,371,3,1,0,0,0,1,0,0
А40-149179/2017,1,1,1,1,1,0,0,3,4,173,0,1,0,0,0,1,1,100000.00
А40-149827/2017,1,1,1,1,1,0,0,3,4,170,0,1,0,0,0,1,1,100000.00
А40-149824/17,1,1,1,1,1,0,0,3,3,155,0,0,1,0,0,1,1,0
А40-119201/17,1,1,1,1,1,0,0,3,3,204,0,0,1,0,0,1,1,29155240.00
А40-148648/17,1,1,1,1,1,0,0,3,3,162,0,1,0,0,0,1,1,28971400.00
А40-163636/17,1,1,1,1,1,0,0,3,7,137,0,0,1,0,0,1,1,6240054.95
А40-151801/17,1,1,1,1,1,0,0,3,4,155,0,1,0,0,0,1,1,1222600.00
А40-147997/17,1,1,1,1,1,0,0,3,4,158,0,1,0,0,0,1,1,738320.00
А31-13593/2016,0,1,1,1,1,0,0,0,6,404,0,0,0,0,1,0,1,650000.00
А32-49263/2017,0,0,0,1,1,1,0,0,11,306,1,0,0,0,1,0,0,0
